Coal Emissions by State (1970 - 2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change from 1970 - 2021,
million metric tons of carbon dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Percent,Absolute
Tennessee,38.4,35.2,42.2,50.6,44.7,44.8,53.4,52.6,53.7,51.5,54.8,53.8,44.7,52.0,52.8,57.0,57.6,56.7,58.0,53.9,57.1,53.8,56.2,65.0,59.0,63.5,61.8,64.6,61.9,61.7,67.1,65.4,62.5,59.3,61.8,62.8,64.6,64.1,61.4,45.6,49.2,45.9,40.4,38.2,40.8,35.4,36.3,32.0,24.1,20.7,16.9,21.6,-43.61%,-16.7
Texas,2.8,2.2,4.7,11.9,12.5,18.5,21.4,27.3,39.7,55.7,69.7,81.5,88.5,96.7,102.1,109.2,110.6,114.5,120.2,127.0,126.8,127.0,126.1,135.7,131.8,129.7,141.1,144.7,141.5,145.6,147.4,142.2,147.9,153.2,155.4,155.6,153.6,153.6,153.3,143.0,149.8,161.9,143.2,152.6,151.4,128.1,126.4,138.8,113.8,94.9,83.6,92.8,3213.21%,90.0
Utah,7.3,7.3,7.2,9.2,10.0,10.8,9.5,12.4,13.5,16.1,15.8,16.5,15.1,15.1,17.5,18.8,17.9,26.0,32.1,33.2,34.8,32.7,34.5,35.1,36.1,34.3,34.1,35.5,37.6,36.5,38.3,36.6,35.4,36.2,38.2,38.7,36.5,37.3,37.8,34.8,34.0,33.1,30.8,33.9,32.8,31.5,25.7,26.3,26.1,25.5,23.4,26.5,263.82%,19.2
Vermont,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.00%,-0.2
Virginia,26.1,21.9,18.9,18.6,16.8,16.1,19.2,17.8,16.2,20.2,21.9,25.0,24.6,26.1,29.0,28.1,28.7,32.0,32.5,36.4,33.7,36.1,36.0,37.6,35.2,36.5,40.6,41.0,41.6,42.2,48.2,46.3,45.9,44.1,43.0,43.6,41.3,43.6,39.5,31.8,32.9,27.4,21.1,27.6,26.4,22.1,21.2,15.2,14.2,8.0,7.1,6.5,-75.24%,-19.7
Washington,0.6,0.6,3.5,6.2,5.1,7.2,7.7,9.7,8.1,9.4,8.7,8.6,7.0,7.6,7.8,8.9,6.0,9.1,9.4,9.2,8.1,8.5,10.1,9.3,10.1,6.6,8.6,7.6,9.8,9.2,10.1,9.5,9.6,11.3,10.8,10.7,6.6,9.1,9.0,8.0,9.1,5.4,4.1,7.2,7.3,5.6,5.1,5.9,5.9,7.7,5.7,3.5,537.09%,3.0
West Virginia,57.6,58.3,67.5,76.4,79.5,77.2,82.4,80.1,74.3,78.4,81.1,83.1,76.5,78.4,85.2,82.7,83.3,82.7,86.9,88.5,82.9,76.2,77.3,77.8,84.4,82.6,86.7,89.0,92.9,94.4,93.0,82.4,94.6,93.3,89.4,91.6,91.4,93.7,91.1,70.8,80.8,78.4,72.2,73.6,77.9,69.8,71.8,67.9,63.2,59.4,51.6,60.6,5.20%,3.0
Wisconsin,36.2,32.0,31.7,29.5,26.5,25.8,28.9,29.2,28.1,30.5,31.1,31.1,30.8,33.5,34.5,34.3,35.3,36.7,37.5,37.1,37.5,38.6,37.6,38.3,40.3,42.0,43.2,46.2,44.9,45.7,47.5,47.0,46.9,46.6,47.7,49.9,44.1,44.4,45.9,40.6,43.8,42.7,35.7,43.4,39.8,39.0,34.1,37.2,34.6,26.8,23.9,27.5,-24.16%,-8.8
Wyoming,6.0,5.6,7.6,9.7,10.4,12.2,17.0,21.9,21.7,25.6,25.5,30.3,31.7,29.8,34.2,38.6,32.0,40.7,42.4,40.5,43.7,42.9,46.8,44.4,46.6,44.0,45.0,44.5,49.1,47.2,48.2,47.6,45.8,47.2,47.8,46.9,46.7,47.2,47.7,45.2,46.2,44.6,46.8,49.7,46.7,46.6,43.7,43.8,43.6,39.2,37.2,36.1,498.22%,30.1
State total1,"1,155.6","1,093.9","1,141.5","1,221.7","1,193.1","1,194.0","1,281.6","1,313.8","1,301.4","1,421.7","1,462.4","1,508.5","1,447.2","1,504.6","1,612.7","1,663.1","1,636.2","1,703.4","1,792.5","1,808.7","1,819.4","1,805.0","1,817.7","1,879.1","1,885.4","1,906.6","1,992.3","2,033.7","2,049.2","2,051.2","2,146.9","2,083.6","2,086.1","2,128.9","2,142.5","2,175.4","2,139.3","2,168.1","2,134.1","1,878.0","1,986.3","1,875.2","1,657.9","1,720.0","1,715.8","1,484.0","1,357.6","1,321.5","1,265.6","1,080.1",877.9,"1,008.6",-12.72%,-147.0
"Source:  U.S. Energy Information Administration (EIA), State Energy Data System and EIA calculations made for this analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1For the United States as a whole see, EIA, Monthly Energy Review, Section 11: Environment.  Differing methodologies between the two data series cause",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the total for all states to be different from the national-level estimate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
